time,value
01/29/2010,85
02/26/2010,84
03/31/2010,107
04/30/2010,148
05/31/2010,78
06/30/2010,81
07/30/2010,70
08/31/2010,101
09/30/2010,89
10/29/2010,128
11/30/2010,156
12/31/2010,167
01/31/2011,173
02/28/2011,140
03/31/2011,158
04/29/2011,150
05/31/2011,131
06/30/2011,179
07/29/2011,179
08/31/2011,165
09/30/2011,128
10/31/2011,175
11/30/2011,188
12/30/2011,193
01/31/2012,176
02/29/2012,183
03/30/2012,225
04/30/2012,190
05/31/2012,152
06/29/2012,143
07/31/2012,142
08/31/2012,133
09/28/2012,75
10/31/2012,146
11/30/2012,113
12/31/2012,124
01/31/2013,136
02/28/2013,102
03/29/2013,121
04/30/2013,91
05/31/2013,117
06/28/2013,85
07/31/2013,85
08/30/2013,82
09/30/2013,97
10/31/2013,100
11/29/2013,93
12/31/2013,125
01/31/2014,126
02/28/2014,101
03/31/2014,136
04/30/2014,111
05/30/2014,67
06/30/2014,62
07/31/2014,46
08/29/2014,50
09/30/2014,46
10/31/2014,75
11/28/2014,65
12/31/2014,67
01/30/2015,55
02/27/2015,53
03/31/2015,53
04/30/2015,54
05/29/2015,66
06/30/2015,76
07/31/2015,89
08/31/2015,65
09/30/2015,65
10/30/2015,74
11/30/2015,71
12/31/2015,69
01/29/2016,67
02/29/2016,61
03/31/2016,65
04/29/2016,77
05/31/2016,69
06/30/2016,76
07/29/2016,60
08/31/2016,70
09/30/2016,64
10/31/2016,56
11/30/2016,75
12/30/2016,93
01/31/2017,78
02/28/2017,92
03/31/2017,120
04/28/2017,88
05/31/2017,86
06/30/2017,78
07/31/2017,69
08/31/2017,80
09/29/2017,73
10/31/2017,83
11/30/2017,84
12/29/2017,112
01/31/2018,112
02/28/2018,82
03/30/2018,112
04/30/2018,132
05/31/2018,107
06/29/2018,158
07/31/2018,103
08/31/2018,145
09/28/2018,105
10/31/2018,140
11/30/2018,152
12/31/2018,172
01/31/2019,137
02/28/2019,117
03/29/2019,120
04/30/2019,102
05/31/2019,163
06/28/2019,187
07/31/2019,120
08/30/2019,143
09/30/2019,144
10/31/2019,134
11/29/2019,97
12/31/2019,134
01/31/2020,176
02/28/2020,108
03/31/2020,95
04/30/2020,76
05/29/2020,37
06/30/2020,54
07/31/2020,50
08/31/2020,41
09/30/2020,52
10/30/2020,40
11/30/2020,44
12/31/2020,70
